esd,record_time,soc,pack_voltage (V),charge_current (A),max_cell_voltage (V),min_cell_voltage (V),max_temperature (℃),min_temperature (℃),available_energy (kw),available_capacity (Ah)
1366563,18/11/2014 17:11,15.2,323.5,-22.5,3.603,3.584,32,31,6.96,20.94
3075723,19/11/2014 19:51,15.6,323.6,-22.5,3.604,3.585,32,31,6.98,20.99
4228788,21/11/2014 16:46,15.6,323.6,-22.5,3.605,3.585,32,31,7,21.04
3173284,3/12/2014 21:02,15.6,323.8,-22.5,3.606,3.586,32,31,7.01,21.09
3266500,11/12/2014 21:14,15.6,323.8,-22.5,3.606,3.587,32,31,7.03,21.14
4099366,12/12/2014 15:04,15.6,323.8,-22.5,3.607,3.588,32,31,7.05,21.18
5084244,12/12/2014 15:47,15.6,323.9,-22.5,3.608,3.588,32,31,7.06,21.23
2948436,17/12/2014 21:31,15.6,323.9,-22.5,3.608,3.588,32,31,7.07,21.28
3515913,18/12/2014 18:04,15.6,323.9,-22.5,3.608,3.589,32,31,7.1,21.33
8490014,18/12/2014 18:30,15.6,323.9,-22.5,3.609,3.59,32,31,7.11,21.39
7075912,18/12/2014 20:57,15.6,324.1,-22.5,3.609,3.59,32,31,7.13,21.45
5226095,19/12/2014 15:12,15.6,324.1,-22.5,3.61,3.59,32,31,7.15,21.5
9342496,7/1/2015 20:54,16,324.1,-22.5,3.61,3.591,32,31,7.17,21.55
1853945,9/1/2015 14:21,16,324.1,-22.5,3.61,3.591,32,31,7.18,21.6
2113485,12/1/2015 21:48,16,324.2,-22.5,3.611,3.592,33,31,7.2,21.65
7492587,16/1/2015 19:03,16,324.2,-22.5,3.611,3.591,33,31,7.22,21.7
1111437,16/1/2015 21:14,16,324.2,-22.5,3.611,3.592,33,31,7.23,21.75
4716378,21/1/2015 20:19,16,324.2,-22.5,3.612,3.592,33,31,7.25,21.8
4187340,29/1/2015 17:25,16,324.2,-22.5,3.612,3.593,33,31,7.27,21.85
7934936,30/1/2015 18:49,16,324.2,-22.5,3.612,3.594,33,31,7.28,21.9
7073357,30/1/2015 21:58,16,324.4,-22.5,3.613,3.594,33,31,7.3,21.95
3002716,3/2/2015 21:53,16,324.4,-22.5,3.612,3.594,33,31,7.32,22.02
2995135,12/2/2015 18:44,16.4,324.4,-22.5,3.613,3.594,33,31,7.34,22.07
5011218,16/2/2015 15:13,16.4,324.4,-22.5,3.613,3.595,33,31,7.36,22.12
8554662,16/2/2015 21:43,16.4,324.4,-22.5,3.615,3.595,33,31,7.37,22.17
8052184,19/2/2015 16:19,16.4,324.4,-22.5,3.614,3.596,33,31,7.39,22.22
6178541,19/2/2015 21:49,16.4,324.6,-22.5,3.614,3.596,33,31,7.41,22.27
8499802,24/2/2015 21:50,16.4,324.6,-22.5,3.615,3.596,33,31,7.42,22.32
8259939,26/2/2015 21:34,16.4,324.6,-22.5,3.615,3.596,33,31,7.43,22.37
2032051,28/2/2015 21:34,16.4,324.6,-22.5,3.615,3.597,33,31,7.46,22.42
7357133,3/3/2015 21:33,16.4,324.6,-22.5,3.616,3.597,33,31,7.47,22.47
6032746,4/3/2015 19:42,16.4,324.7,-22.5,3.616,3.596,33,31,7.48,22.51
4072758,4/3/2015 21:56,16.4,324.7,-22.5,3.617,3.597,33,31,7.51,22.56
6830717,5/3/2015 16:02,16.8,324.7,-22.5,3.617,3.598,33,31,7.52,22.61
6455251,5/3/2015 21:49,16.8,324.7,-22.5,3.617,3.598,33,31,7.54,22.69
5376208,6/3/2015 21:53,16.8,324.7,-22.5,3.617,3.599,33,31,7.56,22.74
2914893,9/3/2015 20:45,16.8,324.7,-22.5,3.617,3.599,33,31,7.58,22.78
5224755,12/3/2015 21:28,16.8,324.9,-22.5,3.618,3.599,33,31,7.59,22.83
8450261,13/3/2015 16:02,16.8,324.9,-22.5,3.618,3.599,33,31,7.61,22.87
9731366,16/3/2015 20:40,16.8,324.9,-22.5,3.618,3.6,33,31,7.63,22.93
9473434,18/3/2015 21:49,16.8,324.9,-22.5,3.618,3.6,33,31,7.64,22.98
2817985,19/3/2015 11:21,16.8,324.9,-22.5,3.619,3.6,33,31,7.66,23.03
5820347,19/3/2015 19:35,16.8,324.9,-22.5,3.619,3.601,33,31,7.68,23.08
5338238,20/3/2015 13:45,16.8,324.9,-22.5,3.62,3.601,33,31,7.69,23.13
3192864,23/3/2015 18:24,17.2,325,-22.5,3.62,3.602,33,31,7.71,23.18
9813434,26/3/2015 11:56,17.2,325,-22.5,3.621,3.602,33,31,7.72,23.23
6362922,26/3/2015 14:13,17.2,325,-22.5,3.621,3.603,33,31,7.75,23.3
3910417,26/3/2015 18:40,17.2,325,-22.5,3.621,3.603,33,31,7.76,23.35
9537925,27/3/2015 15:21,17.2,325,-22.5,3.621,3.603,33,31,7.78,23.4
5688787,27/3/2015 17:52,17.2,325.2,-22.5,3.621,3.604,33,31,7.79,23.45
2189714,30/3/2015 16:14,17.2,325.2,-22.5,3.621,3.603,33,31,7.82,23.5
9009117,30/3/2015 16:42,17.2,325.2,-22.5,3.622,3.604,33,31,7.83,23.55
6241251,31/3/2015 17:44,17.2,325.2,-22.5,3.622,3.604,33,31,7.84,23.6
4027242,1/4/2015 17:04,17.2,325.2,-22.5,3.622,3.604,33,31,7.87,23.65
1534730,2/4/2015 19:59,17.6,325.2,-22.5,3.623,3.605,33,31,7.88,23.7
4970729,6/4/2015 18:42,17.6,325.3,-22.5,3.624,3.605,33,31,7.89,23.75
5850084,7/4/2015 14:40,17.6,325.3,-22.5,3.623,3.605,33,31,7.92,23.8
5503753,7/4/2015 18:20,17.6,325.3,-22.5,3.624,3.605,33,31,7.93,23.84
8356365,8/4/2015 14:50,17.6,325.3,-22.5,3.624,3.606,33,31,7.95,23.92
7116934,9/4/2015 15:19,17.6,325.3,-22.5,3.624,3.607,33,31,7.97,23.97
4303750,9/4/2015 18:58,17.6,325.3,-22.5,3.625,3.606,33,31,7.99,24.02
7027707,15/4/2015 19:17,17.6,325.5,-22.5,3.625,3.607,33,31,8,24.07
4268564,20/4/2015 21:01,17.6,325.3,-22.5,3.625,3.607,33,31,8.01,24.09
7120657,21/4/2015 19:26,17.6,325.5,-22.5,3.625,3.607,33,31,8.03,24.15
7620374,22/4/2015 15:45,17.6,325.5,-22.5,3.625,3.607,33,31,8.05,24.21
8539198,22/4/2015 17:24,18,325.5,-22.5,3.626,3.608,33,31,8.07,24.26
9402479,27/4/2015 18:23,18,325.5,-22.5,3.626,3.608,33,31,8.08,24.31
4904971,28/4/2015 20:33,18,325.5,-22.5,3.627,3.608,33,31,8.099999,24.36
9371693,30/4/2015 20:42,18,325.7,-22.5,3.627,3.608,33,31,8.12,24.41
